row.names	m.1	m.2	m.3	m.4	m.5	m.6	m.7	m.8	m.9	m.10	m.11	m.12	m.13	m.14	m.15	m.16	m.17	m.18	m.19	m.20	m.21	m.22	m.23	m.24	m.25	m.26	m.27	m.28	m.29	m.30	m.31	m.32	m.33	m.34	m.35	m.36	m.37	m.38	m.39	m.40	m.41	m.42	m.43	m.44	m.45	m.46	m.47	m.48	m.49	m.50
20	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA
21	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa
22	AA	AA	AA	AA	AA	AA	AA	AA	NA	AA	AA	AA	AA	AA	AA	AA	NA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa
23	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA
24	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA
25	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	NA	NA	Aa	Aa	Aa	NA	AA	AA	AA	AA	AA	NA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA
26	Aa	NA	Aa	NA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	NA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	Aa	Aa	NA	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	AA	AA	AA
27	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	Aa	Aa	NA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA
28	Aa	Aa	Aa	AA	NA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	Aa	Aa	Aa	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa
29	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA
30	AA	AA	AA	Aa	Aa	Aa	NA	Aa	Aa	NA	AA	AA	NA	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA
31	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	NA	NA	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	NA
32	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	NA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA
33	AA	NA	AA	AA	AA	AA	AA	AA	Aa	Aa	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	NA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa
34	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	AA	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	NA	AA	NA	AA	AA	AA	Aa
35	Aa	NA	Aa	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	NA	AA	Aa	AA	AA	AA	NA	Aa
36	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	Aa	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	AA	AA	Aa	Aa
37	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	Aa	AA	AA	AA	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	AA
38	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	AA	NA	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa
39	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	NA	AA	NA	AA	AA	AA	AA	AA	AA	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	Aa
40	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	AA	AA	AA	AA	AA	Aa	Aa	Aa	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa
41	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	NA	AA	AA	AA	AA	AA	AA	AA	AA	NA	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa
42	AA	AA	AA	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	Aa	AA	NA	AA	AA	AA	AA	AA	AA	AA
43	Aa	Aa	Aa	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	AA	AA	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	NA	AA	AA	AA	AA	Aa
44	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	AA	AA	Aa	Aa	Aa	AA	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	Aa
45	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa
46	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	AA	AA	NA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	Aa	Aa	NA	NA	Aa	NA	Aa	Aa	Aa	Aa
47	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	AA	AA	AA	Aa	Aa	AA	AA	AA	AA	Aa	NA	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa
48	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	Aa	AA	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa
49	NA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	NA	Aa	Aa	AA	AA	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa
50	Aa	Aa	AA	AA	AA	AA	AA	Aa	Aa	Aa	AA	AA	NA	AA	NA	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	NA	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	NA	Aa	Aa	AA
51	AA	AA	AA	AA	AA	NA	AA	AA	AA	AA	AA	NA	AA	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	Aa	NA	Aa	Aa	AA	AA	AA	AA	AA
52	AA	AA	AA	AA	NA	AA	AA	Aa	NA	Aa	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA
53	AA	AA	AA	NA	AA	AA	AA	NA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa
54	Aa	Aa	Aa	AA	NA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA
55	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA
56	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	NA	AA	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa
57	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA
58	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	NA	AA	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa
59	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	AA	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA
60	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	Aa	Aa	Aa	Aa	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa
61	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	Aa	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA
62	Aa	Aa	NA	AA	AA	AA	AA	AA	AA	AA	NA	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa
63	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	AA	AA	AA	AA	AA	AA	AA	AA	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	Aa	AA	AA	AA	AA	AA	AA	AA	NA	AA
64	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA
65	Aa	Aa	Aa	NA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	NA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	NA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	Aa
66	Aa	NA	Aa	AA	AA	AA	AA	AA	AA	NA	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA
67	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	AA	AA	AA	NA	AA	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	NA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa
68	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA
69	AA	AA	AA	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA
70	AA	AA	AA	AA	AA	AA	AA	NA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	Aa	Aa	Aa	AA	AA	AA	AA	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	NA	Aa
71	AA	AA	NA	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA
72	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	AA	AA	NA	Aa	Aa	Aa	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA
73	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa
74	AA	AA	AA	NA	Aa	Aa	AA	AA	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	NA	Aa	Aa	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	Aa	Aa	Aa	Aa	Aa	Aa
75	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	NA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa
76	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	NA	AA	AA
77	Aa	Aa	Aa	Aa	Aa	NA	AA	Aa	AA	AA	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	AA	Aa	Aa	Aa	Aa	Aa	Aa
