row.names	m.1	m.2	m.3	m.4	m.5	m.6	m.7	m.8	m.9	m.10	m.11	m.12	m.13	m.14	m.15	m.16	m.17	m.18	m.19	m.20	m.21	m.22	m.23	m.24	m.25	m.26	m.27	m.28	m.29	m.30	m.31	m.32	m.33	m.34	m.35	m.36	m.37	m.38	m.39	m.40	m.41	m.42	m.43	m.44	m.45	m.46	m.47	m.48	m.49	m.50
 11	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	AA	AA	Aa	Aa	AA	Aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	A-	Aa	aa	aa	aa	NA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	NA	Aa	NA	Aa	a-	aa	AA	AA	NA	AA
 12	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	Aa	Aa	Aa	aa	aa	NA	aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	A-	Aa	Aa	Aa	Aa	AA	NA	Aa	Aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	a-	Aa	NA	NA	NA	aa
 13	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	A-	AA	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	Aa	Aa	Aa	Aa	a-	AA	AA	AA	AA	Aa
 14	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	A-	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	a-	aa	aa	aa	aa	aa
 15	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	A-	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	AA	AA	NA	a-	AA	AA	AA	AA	AA
 16	aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	AA	AA	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	A-	Aa	aa	aa	aa	aa	AA	AA	AA	AA	AA	Aa	Aa	AA	Aa	Aa	aa	aa	aa	aa	a-	AA	AA	AA	AA	AA
 17	AA	AA	AA	Aa	Aa	Aa	NA	Aa	Aa	Aa	aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	A-	Aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	NA	Aa	NA	Aa	Aa	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	NA
 18	Aa	Aa	Aa	aa	aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	aa	Aa	A-	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	aa	aa	a-	aa	aa	aa	aa	Aa
 19	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	aa	aa	Aa	Aa	aa	aa	aa	NA	aa	aa	Aa	Aa	Aa	Aa	A-	aa	NA	aa	aa	Aa	aa	Aa	Aa	Aa	Aa	NA	AA	AA	AA	AA	Aa	Aa	aa	aa	a-	aa	Aa	Aa	Aa	Aa
 20	Aa	Aa	Aa	AA	NA	AA	AA	AA	AA	AA	Aa	NA	aa	aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	A-	AA	NA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA
 21	AA	AA	AA	AA	AA	AA	NA	Aa	aa	aa	Aa	Aa	aa	aa	aa	aa	aa	aa	aa	aa	Aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	Aa	Aa	Aa	a-	Aa	Aa	Aa	Aa	Aa
 22	Aa	Aa	Aa	Aa	Aa	aa	aa	Aa	Aa	Aa	aa	aa	aa	aa	NA	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	A-	Aa	AA	AA	AA	Aa	AA	AA	NA	Aa	Aa	AA	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	a-	Aa	Aa	Aa	Aa	aa
 23	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	Aa	AA	Aa	Aa	Aa	aa	aa	aa	aa	a-	Aa	Aa	Aa	Aa	Aa
 24	Aa	Aa	Aa	Aa	NA	Aa	Aa	aa	aa	aa	AA	AA	Aa	aa	aa	aa	aa	NA	aa	aa	NA	Aa	Aa	Aa	A-	Aa	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	a-	Aa	Aa	Aa	Aa	Aa
 25	NA	Aa	Aa	AA	AA	AA	AA	NA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	A-	AA	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	AA	AA	aa	aa	aa	aa	a-	Aa	NA	Aa	Aa	Aa
 26	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	A-	aa	aa	aa	aa	aa	aa	aa	aa	aa	AA	AA	AA	AA	Aa	Aa	AA	AA	AA	AA	AA	AA	NA	AA	AA	AA
 27	aa	aa	aa	aa	aa	aa	aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	NA	A-	Aa	Aa	Aa	Aa	Aa	aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	a-	AA	AA	AA	AA	Aa
 28	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	A-	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	NA	AA	AA	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	a-	Aa	Aa	Aa	Aa	Aa
 29	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	A-	Aa	AA	AA	AA	Aa	AA	AA	AA	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	Aa	a-	Aa	Aa	Aa	Aa	NA
 30	Aa	Aa	Aa	aa	aa	aa	aa	aa	aa	aa	Aa	Aa	aa	aa	Aa	NA	Aa	NA	Aa	Aa	AA	NA	AA	AA	A-	AA	AA	AA	AA	NA	Aa	Aa	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	a-	aa	aa	aa	NA	aa
 31	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	A-	Aa	Aa	Aa	Aa	Aa	AA	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	aa	aa	aa	a-	Aa	Aa	Aa	aa	aa
 32	AA	AA	NA	AA	NA	AA	Aa	Aa	Aa	Aa	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	A-	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	aa	aa	aa	a-	aa	Aa	Aa	Aa	Aa
 33	Aa	NA	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	aa	aa	aa	aa	aa	aa	NA	Aa	Aa	Aa	A-	Aa	AA	AA	AA	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA
 34	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	AA	AA	AA	A-	AA	AA	AA	NA	AA	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	aa	NA	aa	aa	a-	aa	aa	aa	aa	AA
 35	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	NA	AA	Aa	Aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	AA	AA	AA	Aa	A-	Aa	Aa	NA	Aa	AA	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	a-	Aa	Aa	Aa	Aa	AA
 36	Aa	Aa	Aa	Aa	Aa	Aa	NA	NA	Aa	Aa	AA	AA	AA	AA	NA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	A-	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	aa	aa	aa	aa	a-	aa	aa	aa	aa	aa
 37	Aa	Aa	Aa	aa	aa	aa	aa	Aa	AA	AA	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	A-	Aa	AA	AA	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	AA	AA	AA	AA	AA	AA	aa
 38	Aa	Aa	Aa	AA	NA	AA	AA	AA	AA	AA	aa	aa	aa	aa	aa	aa	aa	aa	NA	aa	aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	a-	AA	Aa	aa	aa	aa
 39	Aa	Aa	Aa	aa	aa	aa	aa	Aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	AA	Aa	Aa	AA	A-	AA	NA	AA	AA	AA	Aa	NA	AA	Aa	Aa	Aa	Aa	AA	AA	Aa	Aa	Aa	Aa	Aa	a-	AA	AA	Aa	Aa	AA
 40	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	NA	aa	AA	NA	Aa	NA	aa	aa	aa	aa	aa	aa	AA	AA	AA	AA	A-	NA	aa	aa	aa	aa	AA	Aa	Aa	Aa	Aa	aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	NA	AA	Aa
 41	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	A-	Aa	NA	NA	Aa	Aa	Aa	Aa	Aa	aa	Aa	Aa	AA	AA	AA	AA	Aa	Aa	Aa	Aa	a-	Aa	Aa	Aa	Aa	Aa
 42	Aa	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	Aa	Aa	Aa	AA	AA	AA	AA	AA	Aa	Aa	Aa	A-	Aa	aa	aa	aa	aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	aa	a-	aa	aa	aa	aa	Aa
 43	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	NA	AA	AA	Aa	Aa	Aa	Aa	A-	AA	AA	AA	AA	Aa	Aa	AA	AA	AA	AA	AA	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	a-	aa	Aa	Aa	Aa	aa
 44	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	AA	AA	NA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	A-	Aa	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	aa	aa	a-	aa	aa	aa	aa	aa
 45	aa	aa	aa	aa	aa	aa	aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	A-	Aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	NA	AA	AA	Aa	Aa	AA	AA	AA	AA	a-	Aa	NA	Aa	Aa	aa
 46	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	A-	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	NA	Aa	Aa	a-	Aa	AA	AA	AA	NA
 47	Aa	Aa	Aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	A-	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	a-	aa	aa	aa	aa	Aa
 48	AA	AA	AA	AA	NA	AA	AA	AA	Aa	AA	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	A-	Aa	Aa	Aa	Aa	Aa	AA	AA	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	a-	Aa	aa	aa	aa	aa
 49	aa	aa	aa	aa	aa	aa	aa	aa	Aa	Aa	NA	Aa	NA	aa	NA	Aa	Aa	Aa	NA	Aa	AA	AA	AA	AA	A-	AA	AA	AA	AA	AA	NA	Aa	aa	Aa	Aa	Aa	Aa	Aa	AA	AA	Aa	Aa	Aa	Aa	a-	Aa	AA	Aa	Aa	Aa
 50	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	Aa	NA	Aa	Aa	A-	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	Aa	Aa	Aa	a-	aa	Aa	Aa	Aa	AA
 51	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	AA	A-	AA	AA	AA	AA	AA	Aa	Aa	Aa	AA	AA	NA	Aa	Aa	Aa	NA	aa	aa	aa	aa	a-	aa	AA	AA	AA	Aa
 52	aa	NA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	aa	aa	aa	Aa	A-	NA	AA	NA	AA	AA	Aa	Aa	Aa	AA	AA	AA	AA	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa
 53	AA	AA	AA	Aa	Aa	Aa	Aa	NA	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	A-	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	Aa	Aa	Aa	NA	Aa	Aa	Aa	aa	aa	aa	Aa	a-	Aa	Aa	Aa	Aa	Aa
 54	aa	aa	aa	aa	aa	aa	aa	aa	Aa	Aa	aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	A-	Aa	aa	aa	aa	aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	a-	AA	Aa	Aa	Aa	Aa
 55	AA	AA	AA	Aa	Aa	Aa	Aa	NA	Aa	Aa	AA	AA	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	aa	aa	aa	aa	aa	aa	aa	aa	NA	aa	AA	AA	AA	AA	AA	NA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	a-	AA	AA	AA	AA	AA
 56	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	A-	Aa	Aa	Aa	Aa	Aa	AA	Aa	aa	aa	Aa	AA	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	a-	Aa	Aa	Aa	AA	Aa
 57	AA	AA	NA	AA	AA	AA	AA	Aa	Aa	Aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	AA	AA	AA	AA	A-	AA	AA	AA	AA	AA	aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	aa	aa	aa	NA	a-	aa	NA	aa	Aa	Aa
 58	AA	AA	AA	aa	aa	aa	aa	aa	aa	NA	aa	Aa	Aa	Aa	AA	AA	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	A-	AA	Aa	Aa	Aa	Aa	aa	aa	Aa	NA	Aa	Aa	AA	NA	Aa	Aa	AA	AA	AA	AA	AA	AA	Aa	aa	aa	Aa
 59	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	A-	aa	AA	AA	AA	AA	Aa	NA	Aa	AA	Aa	Aa	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	a-	Aa	Aa	Aa	Aa	Aa
 60	Aa	Aa	Aa	aa	aa	aa	aa	aa	aa	aa	Aa	Aa	AA	AA	AA	AA	Aa	Aa	Aa	aa	aa	NA	aa	aa	aa	aa	Aa	Aa	Aa	Aa	aa	aa	Aa	Aa	Aa	Aa	aa	aa	aa	Aa	aa	aa	NA	Aa	a-	Aa	Aa	NA	Aa	Aa
 61	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	Aa	Aa	Aa	Aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	A-	Aa	AA	AA	AA	Aa	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	aa
 62	AA	AA	AA	Aa	Aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	A-	Aa	Aa	Aa	Aa	Aa	NA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA
 63	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	aa	Aa	NA	aa	aa	aa	aa	aa	Aa	aa	aa	aa	Aa	A-	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	a-	Aa	NA	Aa	Aa	Aa
 64	Aa	Aa	Aa	aa	aa	aa	aa	aa	aa	aa	Aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	Aa	A-	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	a-	Aa	aa	aa	Aa	AA
 65	Aa	NA	Aa	Aa	Aa	Aa	NA	Aa	aa	aa	Aa	Aa	Aa	Aa	Aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	A-	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	aa	NA	Aa	Aa	Aa	Aa	AA	Aa	Aa	AA	a-	Aa	Aa	Aa	Aa	Aa
 66	aa	aa	aa	aa	aa	aa	aa	Aa	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	aa	aa	aa	aa	AA	NA	AA	AA	NA	Aa	NA	Aa	NA	aa	aa	Aa	Aa	Aa	aa	aa	aa	aa	a-	aa	aa	Aa	Aa	Aa
 67	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	A-	Aa	AA	AA	NA	AA	aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	AA	aa	aa	aa	aa	a-	aa	aa	aa	aa	Aa
 68	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	Aa	Aa	aa	NA	NA	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	aa	aa	aa	aa	NA	AA	AA	AA	AA	AA	AA	AA	AA	NA	AA	aa	aa	aa	aa	a-	aa	aa	aa	Aa	Aa
 69	aa	aa	NA	Aa	Aa	Aa	Aa	NA	aa	Aa	aa	aa	Aa	Aa	Aa	Aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	A-	Aa	AA	AA	AA	AA	aa	aa	aa	aa	NA	Aa	Aa	Aa	Aa	Aa	AA	Aa	Aa	Aa	a-	NA	aa	aa	aa	aa
 70	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	A-	Aa	Aa	Aa	Aa	Aa	AA	AA	Aa	Aa	Aa	Aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	a-	Aa	Aa	Aa	Aa	Aa
 71	aa	aa	aa	Aa	Aa	aa	aa	aa	Aa	Aa	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	NA	AA	AA	AA	A-	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	Aa	Aa	Aa	Aa	Aa	NA	NA	Aa	Aa	a-	Aa	Aa	Aa	Aa	AA
 72	NA	Aa	Aa	aa	aa	aa	aa	aa	aa	aa	AA	AA	aa	aa	aa	aa	aa	aa	aa	aa	aa	Aa	Aa	AA	A-	AA	Aa	Aa	Aa	AA	NA	aa	aa	aa	aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	a-	Aa	Aa	NA	Aa	NA
 73	Aa	Aa	Aa	aa	aa	aa	aa	aa	aa	aa	aa	NA	aa	aa	NA	aa	Aa	Aa	Aa	Aa	aa	NA	aa	aa	A-	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	aa	aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA
 74	Aa	Aa	Aa	aa	aa	aa	Aa	AA	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	aa	aa	aa	aa	aa	aa	aa	NA	aa	aa	Aa	Aa	NA	Aa	Aa	NA	aa	NA	aa	aa	aa	aa	Aa	Aa	a-	AA	AA	AA	Aa	Aa
 75	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	Aa	Aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	A-	Aa	Aa	AA	AA	Aa	aa	aa	aa	aa	aa	aa	AA	AA	AA	AA	AA	AA	AA	Aa	a-	AA	aa	aa	aa	Aa
 76	AA	AA	AA	aa	aa	aa	aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	NA	AA	A-	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	a-	aa	aa	aa	aa	Aa
 77	Aa	Aa	Aa	aa	aa	aa	aa	aa	NA	NA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	Aa	A-	Aa	Aa	Aa	Aa	Aa	aa	Aa	AA	AA	AA	AA	Aa	Aa	Aa	Aa	aa	aa	NA	aa	a-	aa	aa	aa	aa	aa
